frame,t_sec,total_joints,nose_conf,nose_x,nose_y,lSho_conf,lSho_x,lSho_y,rSho_conf,rSho_x,rSho_y,lElb_conf,lElb_x,lElb_y,rElb_conf,rElb_x,rElb_y,lWri_conf,lWri_x,lWri_y,rWri_conf,rWri_x,rWri_y,lHip_conf,lHip_x,lHip_y,rHip_conf,rHip_x,rHip_y
0,0.000,8,0.830,0.5159,0.0929,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.528,0.7276,0.1691,0.103,0.2623,0.0414,0.618,0.7269,0.5110,0.555,0.2551,0.3271,0.000,0.0000,1.0000,0.000,0.0000,1.0000
1,0.042,8,0.797,0.5170,0.1052,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.511,0.7289,0.1691,0.129,0.2642,0.0442,0.587,0.7267,0.5116,0.592,0.2554,0.3254,0.000,0.0000,1.0000,0.000,0.0000,1.0000
2,0.083,8,0.811,0.5199,0.1237,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.501,0.7310,0.1681,0.143,0.2648,0.0469,0.559,0.7272,0.5107,0.578,0.2564,0.3269,0.000,0.0000,1.0000,0.000,0.0000,1.0000
3,0.125,8,0.806,0.5230,0.1441,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.561,0.7335,0.1696,0.131,0.2652,0.0469,0.598,0.7288,0.5114,0.603,0.2578,0.3272,0.000,0.0000,1.0000,0.000,0.0000,1.0000
4,0.167,8,0.818,0.5257,0.1626,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.547,0.7356,0.1701,0.129,0.2660,0.0427,0.606,0.7295,0.5111,0.602,0.2594,0.3303,0.000,0.0000,1.0000,0.000,0.0000,1.0000
5,0.209,8,0.842,0.5270,0.1807,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.501,0.7367,0.1737,0.104,0.2676,0.0450,0.628,0.7304,0.5130,0.550,0.2611,0.3333,0.000,0.0000,1.0000,0.000,0.0000,1.0000
6,0.250,8,0.822,0.5273,0.1974,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.438,0.7384,0.1765,0.103,0.2687,0.0466,0.649,0.7306,0.5127,0.567,0.2612,0.3323,0.000,0.0000,1.0000,0.000,0.0000,1.0000
7,0.292,8,0.793,0.5283,0.2128,0.000,0.0000,1.0000,0.000,0.0000,1.0000,0.506,0.7378,0.1614,0.147,0.2700,0.0462,0.672,0.7315,0.5127,0.528,0.2623,0.3324,0.000,0.0000,1.0000,0.000,0.0000,1.0000
8,0.334,10,0.794,0.5297,0.2313,0.145,0.6237,0.0396,0.000,0.0000,1.0000,0.596,0.7404,0.1649,0.147,0.2703,0.0504,0.710,0.7309,0.5118,0.551,0.2634,0.3339,0.000,0.0000,1.0000,0.000,0.0000,1.0000
9,0.375,10,0.781,0.5309,0.2518,0.195,0.6286,0.0448,0.000,0.0000,1.0000,0.629,0.7417,0.1544,0.145,0.2727,0.0524,0.739,0.7312,0.5130,0.533,0.2643,0.3329,0.000,0.0000,1.0000,0.000,0.0000,1.0000
10,0.417,10,0.795,0.5308,0.2745,0.241,0.6311,0.0620,0.000,0.0000,1.0000,0.609,0.7447,0.1553,0.166,0.2706,0.0526,0.721,0.7311,0.5133,0.553,0.2658,0.3356,0.000,0.0000,1.0000,0.000,0.0000,1.0000
11,0.459,12,0.823,0.5309,0.3004,0.316,0.6404,0.0621,0.260,0.4544,0.0376,0.670,0.7470,0.1526,0.219,0.2751,0.0547,0.714,0.7312,0.5126,0.617,0.2665,0.3390,0.000,0.0000,1.0000,0.000,0.0000,1.0000
12,0.501,12,0.794,0.5323,0.3197,0.463,0.6426,0.0922,0.404,0.4503,0.0477,0.708,0.7514,0.1565,0.239,0.2805,0.0553,0.744,0.7318,0.5097,0.679,0.2667,0.3395,0.000,0.0000,1.0000,0.000,0.0000,1.0000
13,0.542,12,0.787,0.5314,0.3404,0.449,0.6435,0.1003,0.566,0.4418,0.0639,0.727,0.7575,0.1578,0.478,0.2789,0.0513,0.744,0.7321,0.5107,0.713,0.2668,0.3400,0.000,0.0000,1.0000,0.000,0.0000,1.0000
14,0.584,12,0.759,0.5329,0.3606,0.544,0.6407,0.1222,0.584,0.4411,0.0824,0.700,0.7628,0.1618,0.473,0.2751,0.0525,0.758,0.7316,0.5115,0.723,0.2668,0.3383,0.000,0.0000,1.0000,0.000,0.0000,1.0000
15,0.626,12,0.713,0.5335,0.3798,0.579,0.6399,0.1421,0.570,0.4395,0.1019,0.685,0.7648,0.1663,0.517,0.2720,0.0542,0.736,0.7330,0.5107,0.718,0.2680,0.3387,0.000,0.0000,1.0000,0.000,0.0000,1.0000
16,0.667,12,0.620,0.5368,0.3948,0.560,0.6413,0.1595,0.631,0.4393,0.1161,0.692,0.7666,0.1705,0.528,0.2751,0.0547,0.731,0.7330,0.5115,0.722,0.2681,0.3348,0.000,0.0000,1.0000,0.000,0.0000,1.0000
17,0.709,12,0.585,0.5356,0.4224,0.493,0.6399,0.1764,0.637,0.4338,0.1308,0.691,0.7670,0.1764,0.532,0.2748,0.0535,0.732,0.7330,0.5116,0.730,0.2685,0.3357,0.000,0.0000,1.0000,0.000,0.0000,1.0000
18,0.751,12,0.211,0.5918,0.3960,0.503,0.6394,0.2006,0.631,0.4336,0.1482,0.681,0.7672,0.1818,0.510,0.2753,0.0533,0.709,0.7334,0.5121,0.742,0.2698,0.3387,0.000,0.0000,1.0000,0.000,0.0000,1.0000
19,0.792,12,0.713,0.5309,0.4638,0.530,0.6379,0.2206,0.606,0.4346,0.1684,0.662,0.7665,0.1845,0.501,0.2755,0.0520,0.713,0.7342,0.5123,0.747,0.2707,0.3398,0.000,0.0000,1.0000,0.000,0.0000,1.0000
20,0.834,12,0.110,0.5712,0.4437,0.554,0.6353,0.2430,0.610,0.4321,0.1822,0.645,0.7666,0.1858,0.567,0.2734,0.0509,0.686,0.7343,0.5122,0.772,0.2711,0.3435,0.000,0.0000,1.0000,0.000,0.0000,1.0000
21,0.876,12,0.312,0.5763,0.4708,0.545,0.6336,0.2618,0.655,0.4288,0.1966,0.638,0.7657,0.1870,0.593,0.2743,0.0530,0.675,0.7350,0.5119,0.780,0.2718,0.3448,0.000,0.0000,1.0000,0.000,0.0000,1.0000
22,0.918,12,0.344,0.5725,0.5142,0.624,0.6310,0.2890,0.651,0.4280,0.2162,0.622,0.7627,0.1890,0.616,0.2762,0.0519,0.688,0.7349,0.5120,0.769,0.2732,0.3414,0.000,0.0000,1.0000,0.000,0.0000,1.0000
23,0.959,12,0.390,0.6010,0.4557,0.603,0.6305,0.3003,0.605,0.4263,0.2288,0.639,0.7615,0.1935,0.630,0.2773,0.0515,0.665,0.7356,0.5105,0.725,0.2748,0.3406,0.000,0.0000,1.0000,0.000,0.0000,1.0000
24,1.001,12,0.367,0.5896,0.4935,0.670,0.6305,0.3196,0.588,0.4269,0.2502,0.659,0.7595,0.1961,0.675,0.2792,0.0546,0.656,0.7361,0.5112,0.739,0.2756,0.3396,0.000,0.0000,1.0000,0.000,0.0000,1.0000
25,1.043,11,0.611,0.5888,0.4860,0.600,0.6315,0.3320,0.658,0.4230,0.2611,0.686,0.7584,0.1986,0.703,0.2816,0.0570,0.672,0.7351,0.5198,0.783,0.2765,0.3425,0.000,0.0000,1.0000,0.000,0.0000,1.0000
26,1.084,11,0.658,0.5986,0.4992,0.627,0.6296,0.3441,0.659,0.4227,0.2712,0.670,0.7570,0.2015,0.706,0.2836,0.0585,0.646,0.7353,0.5142,0.798,0.2771,0.3463,0.000,0.0000,1.0000,0.000,0.0000,1.0000
27,1.126,11,0.819,0.5950,0.4947,0.673,0.6305,0.3548,0.674,0.4218,0.2821,0.658,0.7583,0.2038,0.700,0.2852,0.0601,0.716,0.7336,0.5230,0.811,0.2775,0.3486,0.000,0.0000,1.0000,0.000,0.0000,1.0000
28,1.168,11,0.632,0.5932,0.5068,0.693,0.6301,0.3624,0.664,0.4213,0.2917,0.633,0.7582,0.2086,0.682,0.2854,0.0618,0.687,0.7337,0.5211,0.824,0.2779,0.3479,0.000,0.0000,1.0000,0.000,0.0000,1.0000
29,1.210,11,0.600,0.5900,0.5128,0.662,0.6302,0.3688,0.678,0.4203,0.2962,0.646,0.7593,0.2111,0.678,0.2847,0.0624,0.693,0.7335,0.5233,0.821,0.2786,0.3500,0.000,0.0000,1.0000,0.000,0.0000,1.0000
