frame,t_sec,total_joints,nose_conf,nose_x,nose_y,lSho_conf,lSho_x,lSho_y,rSho_conf,rSho_x,rSho_y,lElb_conf,lElb_x,lElb_y,rElb_conf,rElb_x,rElb_y,lWri_conf,lWri_x,lWri_y,rWri_conf,rWri_x,rWri_y,lHip_conf,lHip_x,lHip_y,rHip_conf,rHip_x,rHip_y
0,0.000,12,0.889,0.4456,0.4529,0.649,0.5275,0.2688,0.632,0.3789,0.2282,0.822,0.6461,0.3480,0.754,0.3044,0.2183,0.777,0.6657,0.5344,0.698,0.3224,0.4369,0.000,0.0000,1.0000,0.000,0.0000,1.0000
1,0.042,12,0.881,0.4451,0.4474,0.652,0.5279,0.2678,0.635,0.3794,0.2214,0.782,0.6424,0.3510,0.730,0.3082,0.2242,0.755,0.6633,0.5375,0.693,0.3256,0.4378,0.000,0.0000,1.0000,0.000,0.0000,1.0000
2,0.083,12,0.871,0.4439,0.4370,0.656,0.5274,0.2648,0.634,0.3794,0.2173,0.720,0.6384,0.3548,0.652,0.3137,0.2256,0.780,0.6644,0.5530,0.676,0.3268,0.4453,0.000,0.0000,1.0000,0.000,0.0000,1.0000
3,0.125,12,0.907,0.4424,0.4345,0.658,0.5257,0.2602,0.627,0.3784,0.2150,0.776,0.6352,0.3585,0.612,0.3183,0.2251,0.790,0.6618,0.5546,0.739,0.3281,0.4454,0.000,0.0000,1.0000,0.000,0.0000,1.0000
4,0.167,12,0.914,0.4432,0.4329,0.653,0.5258,0.2594,0.600,0.3780,0.2135,0.799,0.6317,0.3593,0.544,0.3232,0.2281,0.776,0.6547,0.5563,0.770,0.3308,0.4381,0.000,0.0000,1.0000,0.000,0.0000,1.0000
5,0.209,12,0.900,0.4422,0.4301,0.617,0.5242,0.2520,0.548,0.3780,0.2104,0.794,0.6279,0.3661,0.562,0.3277,0.2296,0.765,0.6528,0.5587,0.769,0.3324,0.4364,0.000,0.0000,1.0000,0.000,0.0000,1.0000
6,0.250,12,0.841,0.4429,0.4181,0.617,0.5218,0.2494,0.568,0.3798,0.2107,0.792,0.6231,0.3657,0.530,0.3340,0.2300,0.759,0.6499,0.5554,0.688,0.3369,0.4407,0.000,0.0000,1.0000,0.000,0.0000,1.0000
7,0.292,12,0.890,0.4415,0.4128,0.619,0.5218,0.2460,0.536,0.3793,0.2073,0.750,0.6208,0.3740,0.615,0.3354,0.2501,0.701,0.6497,0.5620,0.725,0.3411,0.4387,0.000,0.0000,1.0000,0.000,0.0000,1.0000
8,0.334,12,0.898,0.4423,0.4118,0.622,0.5217,0.2441,0.519,0.3786,0.2020,0.736,0.6151,0.3746,0.628,0.3408,0.2502,0.764,0.6457,0.5675,0.678,0.3478,0.4412,0.000,0.0000,1.0000,0.000,0.0000,1.0000
9,0.375,12,0.899,0.4424,0.4095,0.625,0.5213,0.2424,0.513,0.3800,0.1995,0.705,0.6113,0.3774,0.637,0.3437,0.2590,0.731,0.6393,0.5659,0.770,0.3515,0.4444,0.000,0.0000,1.0000,0.000,0.0000,1.0000
10,0.417,12,0.863,0.4414,0.4033,0.589,0.5211,0.2396,0.528,0.3793,0.1992,0.737,0.6081,0.3857,0.792,0.3454,0.2785,0.777,0.6309,0.5582,0.759,0.3531,0.4438,0.000,0.0000,1.0000,0.000,0.0000,1.0000
11,0.459,12,0.831,0.4410,0.3965,0.559,0.5185,0.2348,0.572,0.3743,0.1961,0.752,0.6044,0.3896,0.723,0.3485,0.2829,0.784,0.6276,0.5663,0.731,0.3548,0.4487,0.000,0.0000,1.0000,0.000,0.0000,1.0000
12,0.501,12,0.888,0.4408,0.3937,0.517,0.5176,0.2314,0.574,0.3739,0.1966,0.765,0.5986,0.3885,0.693,0.3519,0.2902,0.750,0.6264,0.5591,0.682,0.3580,0.4431,0.000,0.0000,1.0000,0.000,0.0000,1.0000
13,0.542,12,0.888,0.4407,0.3927,0.540,0.5161,0.2261,0.602,0.3734,0.1969,0.718,0.5956,0.3921,0.807,0.3533,0.2979,0.703,0.6256,0.5610,0.548,0.3622,0.4540,0.000,0.0000,1.0000,0.000,0.0000,1.0000
14,0.584,12,0.891,0.4398,0.3920,0.534,0.5141,0.2260,0.613,0.3721,0.1977,0.574,0.5966,0.4081,0.771,0.3554,0.3014,0.645,0.6245,0.5638,0.604,0.3630,0.4497,0.000,0.0000,1.0000,0.000,0.0000,1.0000
15,0.626,12,0.900,0.4399,0.3914,0.538,0.5130,0.2262,0.620,0.3706,0.1973,0.575,0.5931,0.4072,0.736,0.3570,0.3056,0.600,0.6205,0.5675,0.393,0.3719,0.5192,0.000,0.0000,1.0000,0.000,0.0000,1.0000
16,0.667,12,0.898,0.4399,0.3915,0.567,0.5104,0.2236,0.608,0.3712,0.1990,0.539,0.5944,0.4190,0.665,0.3590,0.3072,0.559,0.6157,0.5718,0.397,0.3730,0.5063,0.000,0.0000,1.0000,0.000,0.0000,1.0000
17,0.709,12,0.892,0.4396,0.3913,0.584,0.5101,0.2250,0.587,0.3719,0.2042,0.574,0.5906,0.4100,0.629,0.3606,0.3067,0.582,0.6168,0.5783,0.365,0.3684,0.4595,0.000,0.0000,1.0000,0.000,0.0000,1.0000
18,0.751,12,0.888,0.4393,0.3914,0.573,0.5100,0.2249,0.601,0.3707,0.2049,0.692,0.5928,0.4238,0.673,0.3616,0.3144,0.668,0.6141,0.5822,0.369,0.3719,0.5162,0.000,0.0000,1.0000,0.000,0.0000,1.0000
19,0.792,12,0.885,0.4393,0.3914,0.570,0.5097,0.2237,0.624,0.3692,0.2028,0.614,0.5900,0.4208,0.694,0.3629,0.3155,0.534,0.6124,0.5849,0.359,0.3694,0.4561,0.000,0.0000,1.0000,0.000,0.0000,1.0000
