frame,t_sec,has_obs,n_joints,bodyHeight,head_p,head_x,head_y,head_z,cSho_p,cSho_x,cSho_y,cSho_z,lSho_p,lSho_x,lSho_y,lSho_z,rSho_p,rSho_x,rSho_y,rSho_z,lElb_p,lElb_x,lElb_y,lElb_z,rElb_p,rElb_x,rElb_y,rElb_z,lWri_p,lWri_x,lWri_y,lWri_z,rWri_p,rWri_x,rWri_y,rWri_z,lHip_p,lHip_x,lHip_y,lHip_z,rHip_p,rHip_x,rHip_y,rHip_z,root_p,root_x,root_y,root_z
0,0.000,1,11,1.8000,1,-0.0860,0.6679,0.0412,1,-0.0651,0.5498,0.0232,1,0.1035,0.5100,0.0244,1,-0.2307,0.5179,0.0626,1,0.3907,0.3828,-0.0147,1,-0.4533,0.3378,0.1974,1,0.4923,0.4610,0.1970,1,-0.4364,0.2811,0.4378,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
3,0.125,1,11,1.8000,1,-0.1380,0.6543,0.0739,1,-0.1110,0.5399,0.0439,1,0.0603,0.5147,0.0462,1,-0.2790,0.5108,0.0745,1,0.3558,0.4038,0.0221,1,-0.4950,0.3053,0.1810,1,0.4328,0.5124,0.2308,1,-0.4763,0.2495,0.4214,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
6,0.250,1,11,1.8000,1,-0.1189,0.6611,0.0573,1,-0.0971,0.5442,0.0331,1,0.0739,0.5172,0.0374,1,-0.2664,0.5189,0.0597,1,0.3682,0.4013,0.0250,1,-0.4863,0.3164,0.1636,1,0.4509,0.5090,0.2318,1,-0.4706,0.2550,0.4028,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
9,0.375,1,11,1.8000,1,-0.0771,0.6629,0.0816,1,-0.0642,0.5467,0.0495,1,0.1066,0.5192,0.0578,1,-0.2349,0.5271,0.0716,1,0.3925,0.3835,0.0559,1,-0.4618,0.3237,0.1572,1,0.4681,0.4646,0.2771,1,-0.4478,0.2460,0.3918,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
12,0.501,1,11,1.8000,1,-0.0361,0.6426,0.1559,1,-0.0347,0.5364,0.0972,1,0.1381,0.5254,0.0962,1,-0.2055,0.5218,0.1219,1,0.4328,0.4240,0.0409,1,-0.4520,0.3287,0.1679,1,0.5031,0.4731,0.2731,1,-0.4454,0.2331,0.3961,1,0.1565,0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
15,0.626,1,11,1.8000,1,-0.0253,0.6338,0.1757,1,-0.0274,0.5317,0.1101,1,0.1453,0.5178,0.1103,1,-0.1982,0.5164,0.1341,1,0.4362,0.4033,0.0612,1,-0.4415,0.3183,0.1758,1,0.4861,0.4230,0.3028,1,-0.4321,0.2185,0.4021,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
18,0.751,1,11,1.8000,1,0.1522,0.5699,0.2393,1,0.1132,0.4983,0.1496,1,0.2837,0.4683,0.1536,1,-0.0580,0.4894,0.1748,1,0.4985,0.2373,0.1280,1,-0.3228,0.3160,0.1775,1,0.5531,0.1306,0.3445,1,-0.2933,0.1672,0.3730,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
21,0.876,1,11,1.8000,1,0.0708,0.6113,0.2087,1,0.0520,0.5198,0.1313,1,0.2240,0.5150,0.1518,1,-0.1115,0.4713,0.1614,1,0.4743,0.3232,0.1788,1,-0.2936,0.2261,0.2443,1,0.4933,0.2239,0.4047,1,-0.1846,0.0920,0.4214,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
24,1.001,1,11,1.8000,1,0.0148,0.6094,0.2167,1,-0.0005,0.5195,0.1367,1,0.1710,0.5212,0.1609,1,-0.1642,0.4708,0.1656,1,0.4320,0.3503,0.2141,1,-0.3463,0.2261,0.2503,1,0.4252,0.2905,0.4541,1,-0.2534,0.1346,0.4607,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
27,1.126,1,11,1.8000,1,0.0242,0.6041,0.2232,1,0.0053,0.5171,0.1408,1,0.1771,0.5208,0.1629,1,-0.1591,0.4713,0.1702,1,0.4430,0.3554,0.2091,1,-0.3467,0.2273,0.2439,1,0.4067,0.3127,0.4502,1,-0.2635,0.1498,0.4638,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
