frame,t_sec,has_obs,n_joints,bodyHeight,head_p,head_x,head_y,head_z,cSho_p,cSho_x,cSho_y,cSho_z,lSho_p,lSho_x,lSho_y,lSho_z,rSho_p,rSho_x,rSho_y,rSho_z,lElb_p,lElb_x,lElb_y,lElb_z,rElb_p,rElb_x,rElb_y,rElb_z,lWri_p,lWri_x,lWri_y,lWri_z,rWri_p,rWri_x,rWri_y,rWri_z,lHip_p,lHip_x,lHip_y,lHip_z,rHip_p,rHip_x,rHip_y,rHip_z,root_p,root_x,root_y,root_z
0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,3.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,4.033,1,11,1.8000,1,-0.2212,0.6301,0.0733,1,-0.1916,0.5168,0.0415,1,-0.0488,0.4189,0.0437,1,-0.3379,0.4255,0.0577,1,0.0446,0.1165,0.0429,1,-0.2469,0.1227,0.0718,1,-0.0418,0.1097,0.2747,1,-0.2237,0.1038,0.3175,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,-0.0000,0.0000,0.0000
135,4.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,5.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,5.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,6.033,1,11,1.8000,1,0.0702,0.6643,0.0785,1,0.0558,0.5480,0.0472,1,0.2287,0.5418,0.0565,1,-0.1102,0.4987,0.0496,1,0.3250,0.2424,0.0916,1,-0.2163,0.2035,0.0075,1,0.2476,0.0123,0.1399,1,-0.2378,-0.0407,0.0417,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
195,6.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,7.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,7.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,8.033,1,11,1.8000,1,0.0021,0.6718,0.0517,1,0.0042,0.5523,0.0311,1,0.1656,0.6082,0.0024,1,-0.1573,0.5592,0.0932,1,0.2793,0.3133,0.0198,1,-0.1067,0.2469,0.1022,1,0.0531,0.2655,-0.0685,1,-0.0596,0.0119,0.0409,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
255,8.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,9.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,9.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,10.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,10.533,1,11,1.8000,1,0.0185,0.6744,0.0307,1,0.0169,0.5542,0.0147,1,0.1867,0.5250,0.0326,1,-0.1401,0.4814,0.0066,1,0.2262,0.2110,0.0268,1,-0.2136,0.1740,-0.0103,1,0.0629,0.0261,0.0465,1,-0.2090,-0.0533,0.0877,1,0.1565,-0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
330,11.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,11.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,12.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,12.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,13.033,1,11,1.8000,1,0.1989,0.5947,0.1771,1,0.1909,0.4974,0.1051,1,0.3265,0.5870,0.1649,1,0.0226,0.4585,0.0923,1,0.6380,0.6078,0.2175,1,-0.0102,0.2304,-0.1246,1,0.6087,0.4890,0.4326,1,0.1171,0.2079,0.0865,1,0.1565,-0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,-0.0000,0.0000,0.0000
405,13.533,1,11,1.8000,1,-0.0862,0.6162,0.1849,1,-0.0540,0.5224,0.1152,1,0.0936,0.6058,0.1509,1,-0.2236,0.4876,0.1167,1,0.3636,0.4428,0.1241,1,-0.2789,0.2250,-0.0511,1,0.3587,0.2432,0.2702,1,-0.1019,0.0697,0.0253,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
420,14.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,14.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,15.033,1,11,1.8000,1,0.0197,0.5972,0.2237,1,0.0383,0.5155,0.1361,1,0.1895,0.5771,0.1939,1,-0.1343,0.5012,0.1362,1,0.4957,0.5048,0.1595,1,-0.2107,0.2717,-0.0680,1,0.4583,0.3215,0.3215,1,-0.0110,0.1975,0.0579,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
465,15.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,16.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,16.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,17.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,17.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,18.033,1,11,1.8000,1,-0.0700,0.6644,0.0721,1,-0.0607,0.5488,0.0365,1,0.1056,0.5004,0.0370,1,-0.2180,0.4762,0.0381,1,0.1948,0.1996,-0.0048,1,-0.2440,0.1616,0.0601,1,0.1893,-0.0427,0.0454,1,-0.1532,-0.0593,0.1251,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,-0.0000,0.0000,0.0000
555,18.533,1,11,1.8000,1,0.1568,0.6478,0.0757,1,0.1400,0.5322,0.0429,1,0.2876,0.4638,0.1023,1,-0.0314,0.5296,0.0182,1,0.2956,0.1583,0.1849,1,-0.2156,0.2749,0.0557,1,0.1835,-0.0150,0.3214,1,-0.2314,0.0829,0.2110,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
570,19.033,1,11,1.8000,1,0.0278,0.6660,0.0836,1,0.0139,0.5496,0.0525,1,0.1856,0.5285,0.0615,1,-0.1587,0.5356,0.0517,1,0.3739,0.2789,0.0124,1,-0.3479,0.2822,0.0387,1,0.5709,0.2054,0.1430,1,-0.3480,0.0756,0.1750,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
585,19.533,1,11,1.8000,1,0.0594,0.6636,0.0779,1,0.0492,0.5503,0.0360,1,0.2162,0.5173,0.0678,1,-0.1223,0.5267,0.0324,1,0.2554,0.2153,0.1541,1,-0.2441,0.2353,0.0542,1,0.1764,0.0555,0.3257,1,-0.1638,0.0334,0.1727,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
600,20.033,1,11,1.8000,1,0.0333,0.6584,0.1022,1,0.0238,0.5501,0.0484,1,0.1919,0.5172,0.0747,1,-0.1465,0.5284,0.0262,1,0.3298,0.2335,0.1011,1,-0.3299,0.2775,-0.0339,1,0.3916,0.0640,0.2705,1,-0.3609,0.0387,0.0234,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
615,20.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,21.033,1,11,1.8000,1,-0.0446,0.6478,0.1381,1,-0.0330,0.5397,0.0844,1,0.1298,0.5289,0.1427,1,-0.1996,0.4991,0.1082,1,0.1693,0.2620,0.3082,1,-0.2864,0.2654,0.3032,1,0.0193,0.1343,0.4580,1,-0.1859,0.1528,0.4994,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
645,21.533,1,11,1.8000,1,-0.1806,0.6388,0.0924,1,-0.1382,0.5300,0.0595,1,0.0201,0.5415,0.1287,1,-0.2984,0.4648,0.0693,1,0.1377,0.3043,0.3022,1,-0.3714,0.1846,0.1969,1,0.1714,0.1273,0.4719,1,-0.3594,-0.0189,0.3373,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
660,22.033,1,11,1.8000,1,-0.1262,0.6590,0.0584,1,-0.0962,0.5442,0.0332,1,0.0708,0.5450,0.0793,1,-0.2627,0.5005,0.0523,1,0.1972,0.2920,0.2214,1,-0.3300,0.2072,0.1505,1,0.2295,0.1259,0.4020,1,-0.3087,0.0004,0.2848,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
675,22.533,1,11,1.8000,1,-0.0716,0.6648,0.0735,1,-0.0575,0.5486,0.0418,1,0.1067,0.5254,0.0917,1,-0.2293,0.5278,0.0335,1,0.2303,0.2497,0.1860,1,-0.5067,0.3886,0.0951,1,0.2750,0.0409,0.3111,1,-0.5102,0.5816,0.2499,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
690,23.033,1,11,1.8000,1,0.0101,0.6677,0.0745,1,0.0080,0.5522,0.0373,1,0.1698,0.5062,0.0785,1,-0.1650,0.5535,0.0285,1,0.2646,0.2073,0.1217,1,-0.4685,0.5122,0.1082,1,0.2724,-0.0183,0.2231,1,-0.4952,0.6723,0.2950,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
705,23.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,24.033,1,11,1.8000,1,-0.0401,0.6716,0.0376,1,-0.0244,0.5537,0.0136,1,0.1239,0.5963,0.0922,1,-0.1971,0.5628,0.0046,1,0.1848,0.7282,0.3734,1,-0.4523,0.6670,0.1601,1,0.0276,0.9079,0.4384,1,-0.3729,0.8372,0.3214,1,0.1565,-0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
735,24.533,1,11,1.8000,1,-0.0284,0.6717,0.0430,1,-0.0156,0.5540,0.0166,1,0.1391,0.5819,0.0893,1,-0.1887,0.5600,0.0146,1,0.2308,0.6615,0.3816,1,-0.4598,0.6090,0.1704,1,0.0851,0.8365,0.4786,1,-0.3917,0.7585,0.3555,1,0.1565,-0.0000,0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
750,25.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765,25.533,1,11,1.8000,1,-0.0415,0.6717,0.0394,1,-0.0299,0.5534,0.0151,1,0.1274,0.5881,0.0788,1,-0.2004,0.5534,0.0453,1,0.1929,0.6679,0.3781,1,-0.2987,0.5782,0.3451,1,0.1279,0.8367,0.5469,1,-0.2263,0.7511,0.5068,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
780,26.033,1,11,1.8000,1,-0.0669,0.6613,0.0875,1,-0.0465,0.5474,0.0508,1,0.1089,0.5930,0.1122,1,-0.2167,0.5308,0.0786,1,0.1431,0.7070,0.4054,1,-0.2784,0.4546,0.3795,1,0.0331,0.9155,0.4809,1,-0.2024,0.6829,0.4374,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
795,26.533,1,11,1.8000,1,-0.0796,0.6624,0.0703,1,-0.0690,0.5479,0.0319,1,0.0907,0.6019,0.0717,1,-0.2316,0.5505,0.0915,1,0.1784,0.7634,0.3294,1,-0.2084,0.6318,0.3965,1,0.0384,0.9299,0.4476,1,-0.1450,0.8573,0.4765,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
810,27.033,1,11,1.8000,1,-0.1502,0.6437,0.0915,1,-0.1181,0.5351,0.0480,1,0.0344,0.6097,0.0824,1,-0.2868,0.5266,0.0862,1,0.0871,0.8416,0.2913,1,-0.2639,0.5937,0.3946,1,-0.0861,1.0081,0.3505,1,-0.2490,0.8404,0.4078,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
825,27.533,1,11,1.8000,1,-0.1410,0.6446,0.0952,1,-0.1096,0.5370,0.0488,1,0.0450,0.6055,0.0862,1,-0.2780,0.5173,0.0842,1,0.1434,0.7675,0.3397,1,-0.2769,0.5118,0.4007,1,-0.0450,0.9214,0.3850,1,-0.2578,0.7581,0.4144,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
840,28.033,1,11,1.8000,1,-0.1409,0.6472,0.0908,1,-0.1144,0.5374,0.0466,1,0.0500,0.5797,0.0810,1,-0.2824,0.5275,0.0874,1,0.2583,0.5752,0.3193,1,-0.3113,0.5122,0.4022,1,0.1443,0.7708,0.4194,1,-0.3262,0.7592,0.4071,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
855,28.533,1,11,1.8000,1,-0.1326,0.6465,0.0950,1,-0.1037,0.5383,0.0484,1,0.0540,0.6013,0.0825,1,-0.2712,0.5162,0.0865,1,0.2282,0.7345,0.3107,1,-0.2756,0.5055,0.4028,1,0.0449,0.8831,0.3854,1,-0.2637,0.7523,0.4180,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
870,29.033,1,11,1.8000,1,-0.1168,0.6525,0.0852,1,-0.0928,0.5417,0.0420,1,0.0631,0.6082,0.0779,1,-0.2579,0.5136,0.0861,1,0.1765,0.7867,0.3133,1,-0.2288,0.4684,0.3981,1,-0.0069,0.9246,0.4060,1,-0.1590,0.6984,0.4571,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
885,29.533,1,11,1.8000,1,-0.0038,0.6515,0.1238,1,0.0044,0.5454,0.0657,1,0.1669,0.6033,0.0812,1,-0.1517,0.4716,0.0797,1,0.4137,0.7862,0.0050,1,-0.2404,0.1719,0.1295,1,0.2306,0.9372,0.0751,1,-0.2319,-0.0300,0.2724,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
900,30.033,1,11,1.8000,1,-0.0519,0.6682,0.0499,1,-0.0436,0.5519,0.0163,1,0.1208,0.5987,0.0444,1,-0.2076,0.5404,0.0708,1,0.2959,0.7122,0.2824,1,-0.1873,0.5643,0.3857,1,0.1524,0.8629,0.4164,1,-0.1290,0.7924,0.4622,1,0.1565,-0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
915,30.533,1,11,1.8000,1,-0.0294,0.6543,0.1203,1,-0.0227,0.5458,0.0665,1,0.1504,0.5519,0.0668,1,-0.1846,0.4869,0.0842,1,0.3162,0.4108,-0.1629,1,-0.2989,0.1926,0.1065,1,0.3303,0.1712,-0.1027,1,-0.3146,-0.0356,0.2011,1,0.1565,-0.0000,-0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
930,31.033,1,11,1.8000,1,0.0069,0.6591,0.1051,1,0.0112,0.5483,0.0558,1,0.1776,0.5884,0.0826,1,-0.1472,0.4788,0.0631,1,0.4772,0.6902,0.0871,1,-0.2398,0.1761,0.0619,1,0.3498,0.8577,0.2174,1,-0.2623,-0.0497,0.1606,1,0.1565,-0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
945,31.533,1,11,1.8000,1,0.0254,0.6581,0.1070,1,0.0262,0.5473,0.0577,1,0.1889,0.6019,0.0813,1,-0.1316,0.4767,0.0691,1,0.4113,0.8262,0.1001,1,-0.2221,0.1745,0.0943,1,0.2581,0.9931,0.1999,1,-0.2361,-0.0415,0.2144,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,-0.0000
960,32.033,1,11,1.8000,1,-0.0175,0.6507,0.1344,1,-0.0128,0.5435,0.0777,1,0.1557,0.5142,0.1050,1,-0.1746,0.4849,0.0970,1,0.2460,0.2126,0.1376,1,-0.2469,0.1895,0.1845,1,0.2247,-0.0049,0.2538,1,-0.2076,-0.0247,0.3021,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,-0.0000
975,32.533,1,11,1.8000,1,-0.0271,0.6549,0.1186,1,-0.0192,0.5460,0.0657,1,0.1521,0.5615,0.0859,1,-0.1829,0.4923,0.0835,1,0.3973,0.3662,0.0426,1,-0.2776,0.1994,0.1574,1,0.2747,0.2366,0.2142,1,-0.2496,-0.0219,0.2646,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
990,33.033,1,11,1.8000,1,-0.0682,0.6489,0.1275,1,-0.0543,0.5418,0.0723,1,0.1153,0.5442,0.1077,1,-0.2164,0.4830,0.0887,1,0.2705,0.2746,0.1660,1,-0.3167,0.2047,0.2010,1,0.1539,0.1812,0.3633,1,-0.2828,0.0328,0.3758,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
1005,33.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1020,34.033,1,11,1.8000,1,0.0480,0.6572,0.1109,1,0.0423,0.5454,0.0641,1,0.2114,0.5425,0.1017,1,-0.1186,0.4868,0.0902,1,0.3236,0.2600,0.1898,1,-0.2244,0.2249,0.2331,1,0.1865,0.1796,0.3796,1,-0.2125,0.0237,0.3767,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
1035,34.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050,35.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,35.533,1,11,1.8000,1,-0.0644,0.6638,0.0764,1,-0.0505,0.5493,0.0390,1,0.1183,0.5429,0.0774,1,-0.2149,0.4967,0.0535,1,0.2157,0.2545,0.1638,1,-0.3223,0.2242,0.1734,1,0.0745,0.3710,0.3304,1,-0.1974,0.1504,0.3739,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
1080,36.033,1,11,1.8000,1,-0.1027,0.6566,0.0886,1,-0.0853,0.5427,0.0507,1,0.0810,0.5488,0.0985,1,-0.2505,0.5020,0.0832,1,0.1433,0.2861,0.2636,1,-0.3167,0.3076,0.3240,1,-0.0262,0.3218,0.4404,1,-0.1349,0.3558,0.4849,1,0.1565,-0.0000,0.0000,1,-0.1565,0.0000,-0.0000,1,0.0000,0.0000,0.0000
1095,36.533,1,11,1.8000,1,-0.0892,0.6568,0.0952,1,-0.0732,0.5430,0.0565,1,0.0930,0.5523,0.1045,1,-0.2379,0.5012,0.0900,1,0.1586,0.2917,0.2718,1,-0.3042,0.3036,0.3282,1,-0.0164,0.3139,0.4454,1,-0.1213,0.3432,0.4901,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
1110,37.033,1,11,1.8000,1,-0.0612,0.6674,0.0561,1,-0.0484,0.5511,0.0241,1,0.1226,0.5429,0.0505,1,-0.2118,0.4946,0.0338,1,0.2323,0.2474,0.0792,1,-0.3304,0.2190,0.1347,1,0.1253,0.3270,0.2876,1,-0.1905,0.1693,0.3327,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
1125,37.533,1,11,1.8000,1,-0.0568,0.6688,0.0498,1,-0.0450,0.5518,0.0200,1,0.1263,0.5429,0.0440,1,-0.2089,0.4962,0.0274,1,0.2516,0.2527,0.0597,1,-0.3338,0.2200,0.1185,1,0.1791,0.3026,0.2910,1,-0.1897,0.1920,0.3178,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
