frame,t_sec,has_obs,n_joints,bodyHeight,head_p,head_x,head_y,head_z,cSho_p,cSho_x,cSho_y,cSho_z,lSho_p,lSho_x,lSho_y,lSho_z,rSho_p,rSho_x,rSho_y,rSho_z,lElb_p,lElb_x,lElb_y,lElb_z,rElb_p,rElb_x,rElb_y,rElb_z,lWri_p,lWri_x,lWri_y,lWri_z,rWri_p,rWri_x,rWri_y,rWri_z,lHip_p,lHip_x,lHip_y,lHip_z,rHip_p,rHip_x,rHip_y,rHip_z,root_p,root_x,root_y,root_z
660,22.033,1,11,1.8000,1,-0.1262,0.6590,0.0584,1,-0.0962,0.5442,0.0332,1,0.0708,0.5450,0.0793,1,-0.2627,0.5005,0.0523,1,0.1972,0.2920,0.2214,1,-0.3300,0.2072,0.1505,1,0.2295,0.1259,0.4020,1,-0.3087,0.0004,0.2848,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
663,22.133,1,11,1.8000,1,-0.1206,0.6566,0.0776,1,-0.0921,0.5430,0.0462,1,0.0743,0.5416,0.0942,1,-0.2590,0.4988,0.0603,1,0.1934,0.2866,0.2389,1,-0.3345,0.2096,0.1643,1,0.2165,0.1142,0.4150,1,-0.3074,0.0125,0.3116,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
666,22.233,1,11,1.8000,1,-0.0865,0.6581,0.0951,1,-0.0666,0.5449,0.0564,1,0.1007,0.5301,0.0987,1,-0.2353,0.5059,0.0618,1,0.2230,0.2577,0.2033,1,-0.3378,0.2173,0.1417,1,0.2421,0.0701,0.3637,1,-0.2908,0.0288,0.2951,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
669,22.333,1,11,1.8000,1,-0.0622,0.6587,0.1046,1,-0.0505,0.5450,0.0640,1,0.1157,0.5188,0.1052,1,-0.2203,0.5109,0.0651,1,0.2483,0.2430,0.1862,1,-0.3851,0.2538,0.1480,1,0.2722,0.0490,0.3379,1,-0.3118,0.1209,0.3435,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,0.0000
672,22.433,1,11,1.8000,1,-0.0710,0.6613,0.0883,1,-0.0551,0.5473,0.0501,1,0.1098,0.5269,0.0990,1,-0.2258,0.5190,0.0423,1,0.2297,0.2505,0.1958,1,-0.4524,0.3144,0.1259,1,0.2590,0.0475,0.3344,1,-0.3916,0.4665,0.3114,1,0.1565,-0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
675,22.533,1,11,1.8000,1,-0.0716,0.6648,0.0735,1,-0.0575,0.5486,0.0418,1,0.1067,0.5254,0.0917,1,-0.2293,0.5278,0.0335,1,0.2303,0.2497,0.1860,1,-0.5067,0.3886,0.0951,1,0.2750,0.0409,0.3111,1,-0.5102,0.5816,0.2499,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
678,22.633,1,11,1.8000,1,-0.0423,0.6678,0.0704,1,-0.0348,0.5510,0.0387,1,0.1306,0.5219,0.0811,1,-0.2075,0.5386,0.0360,1,0.2536,0.2352,0.1344,1,-0.5026,0.4425,0.0982,1,0.2894,0.0162,0.2440,1,-0.5362,0.6466,0.2341,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
681,22.733,1,11,1.8000,1,-0.0599,0.6658,0.0708,1,-0.0466,0.5502,0.0364,1,0.1209,0.5137,0.0611,1,-0.2198,0.5499,0.0329,1,0.2514,0.2497,-0.0548,1,-0.5343,0.5562,0.0677,1,0.2840,0.0058,-0.0277,1,-0.5892,0.7341,0.2308,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,0.0000,0.0000,0.0000
684,22.833,1,11,1.8000,1,-0.0481,0.6700,0.0502,1,-0.0357,0.5525,0.0228,1,0.1327,0.5213,0.0486,1,-0.2084,0.5622,0.0136,1,0.3376,0.3239,-0.0902,1,-0.5192,0.6176,0.0367,1,0.4207,0.0912,-0.1042,1,-0.6039,0.7470,0.2299,1,0.1565,-0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,0.0000,0.0000,0.0000
687,22.933,1,11,1.8000,1,-0.0194,0.6677,0.0765,1,-0.0141,0.5513,0.0427,1,0.1483,0.5804,0.0956,1,-0.1867,0.5582,0.0549,1,0.3328,0.6593,0.3404,1,-0.4643,0.5765,0.2058,1,0.2966,0.8496,0.4945,1,-0.4750,0.7253,0.4033,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,0.0000,0.0000,-0.0000
