frame,t_sec,has_obs,n_joints,bodyHeight,head_p,head_x,head_y,head_z,cSho_p,cSho_x,cSho_y,cSho_z,lSho_p,lSho_x,lSho_y,lSho_z,rSho_p,rSho_x,rSho_y,rSho_z,lElb_p,lElb_x,lElb_y,lElb_z,rElb_p,rElb_x,rElb_y,rElb_z,lWri_p,lWri_x,lWri_y,lWri_z,rWri_p,rWri_x,rWri_y,rWri_z,lHip_p,lHip_x,lHip_y,lHip_z,rHip_p,rHip_x,rHip_y,rHip_z,root_p,root_x,root_y,root_z
0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.300,1,11,1.8000,1,-0.1261,0.6630,0.0290,1,-0.1012,0.5446,0.0208,1,0.0501,0.5247,-0.0613,1,-0.1453,0.4007,0.1064,1,0.1630,0.2387,-0.1362,1,-0.0372,0.1044,0.0799,1,0.1987,0.0166,-0.0330,1,0.1396,-0.0601,0.0256,1,0.1565,-0.0000,-0.0000,1,-0.1565,-0.0000,0.0001,1,-0.0000,0.0000,0.0000
12,0.400,1,11,1.8000,1,-0.0837,0.6693,0.0331,1,-0.0673,0.5497,0.0212,1,0.1013,0.5421,-0.0179,1,-0.1931,0.4695,0.1092,1,0.2377,0.2595,-0.0594,1,-0.1098,0.1651,0.1328,1,0.2152,0.0511,0.0721,1,0.0852,0.0154,0.1614,1,0.1565,0.0000,-0.0000,1,-0.1565,-0.0000,0.0000,1,-0.0000,0.0000,0.0000
15,0.500,1,11,1.8000,1,-0.0930,0.6687,0.0259,1,-0.0751,0.5490,0.0171,1,0.0910,0.5405,-0.0310,1,-0.1842,0.4569,0.1152,1,0.2296,0.2594,-0.0753,1,-0.0948,0.1540,0.1356,1,0.2080,0.0495,0.0540,1,0.1022,0.0053,0.1539,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,0.0001,1,0.0000,0.0000,0.0000
18,0.600,1,11,1.8000,1,-0.3178,0.5796,0.0889,1,-0.2398,0.4894,0.0667,1,-0.1018,0.3850,0.0742,1,-0.3843,0.3952,0.0510,1,0.0195,0.1827,-0.1367,1,-0.1738,0.1623,0.0913,1,-0.1172,0.0736,0.0384,1,0.0416,0.0468,0.1303,1,0.1565,0.0000,0.0000,1,-0.1565,-0.0000,-0.0000,1,-0.0000,0.0000,0.0000
21,0.700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.900,1,11,1.8000,1,-0.3181,0.5828,0.0774,1,-0.2406,0.4913,0.0588,1,-0.1017,0.3881,0.0647,1,-0.3928,0.4098,0.0448,1,0.0709,0.2055,-0.1278,1,-0.1948,0.1723,0.1122,1,-0.0799,0.1112,0.0443,1,0.0227,0.0646,0.1609,1,0.1565,-0.0000,-0.0000,1,-0.1565,0.0000,0.0000,1,-0.0000,0.0000,0.0000
30,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1.100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1.300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1.400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1.700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
